SECAO_CNAE	CATEGORIA_NATUREZA_JURIDICA	PORTE	QTD_FILIAIS_ATIVAS	COMPETICAO_MERCADO_ESTADUAL	QTD_ABERTURAS_NACIONAL_5_ANOS	QTD_ABERTURAS_ESTADUAL_5_ANOS	QTD_ABERTURAS_GEORREFERENCIADO_5_ANOS	QTD_FECHAMENTOS_NACIONAL_5_ANOS	QTD_FECHAMENTOS_ESTADUAL_5_ANOS	QTD_FECHAMENTOS_GEORREFERENCIADO_5_ANOS	RAZAO_SITUACAO_MERCADO_NACIONAL_5_ANOS	RAZAO_SITUACAO_MERCADO_ESTADUAL_5_ANOS	RAZAO_SITUACAO_MERCADO_GEORREFERENCIADO_5_ANOS	TAXA_SOBREVIVENCIA_MERCADO_5_ANOS	TAXA_SOBREVIVENCIA_MERCADO_10_ANOS	PORTE_FATURAMENTO_PRESUMIDO	QTD_COLABORADORES	CONCENTRACAO_SOCIETARIA	RISCO_LIDERANCA	QTD_RECLAMACOES_TOTAL	QTD_RECLAMACOES_NAO_ATENDIDAS_TOTAL	QTD_PROCESSOS_JUDICIAIS_REQUERIDO	QTD_PROCESSOS_JUDICIAIS_REQUERENTE	CONCENTRACAO_ACADEMIAS	CONCENTRACAO_AEROPORTOS	CONCENTRACAO_ALUGUEL_CARROS	CONCENTRACAO_AREA_RISCO	CONCENTRACAO_BANCOS	CONCENTRACAO_BARES	CONCENTRACAO_BEBIDAS	CONCENTRACAO_BOMBEIRO	CONCENTRACAO_CAIXA_ELETRONICO	CONCENTRACAO_CASA_NOTURNA	CONCENTRACAO_CEMITERIO	CONCENTRACAO_CINEMAS	CONCENTRACAO_CONCESSIONARIA	CONCENTRACAO_CORREIOS	CONCENTRACAO_CORRETOR_SEGUROS	CONCENTRACAO_ESCOLAS	CONCENTRACAO_ESTACAO_ONIBUS	CONCENTRACAO_ESTACIONAMENTOS	CONCENTRACAO_AGLOMERADO_SUBNORMAL	CONCENTRACAO_FUNERARIA	CONCENTRACAO_HOSPITAL	CONCENTRACAO_HOTEL	CONCENTRACAO_IGREJA	CONCENTRACAO_LAVA_RAPIDO	CONCENTRACAO_METRO	CONCENTRACAO_OFICINAS	CONCENTRACAO_PARQUE	CONCENTRACAO_PARQUES_DIVERSAO	CONCENTRACAO_POLICIA	CONCENTRACAO_PONTO_TAXI	CONCENTRACAO_POSTO_GASOLINA	CONCENTRACAO_PREFEITURA	CONCENTRACAO_SHOPPING	CONCENTRACAO_SUPERMERCADO	CONCENTRACAO_TREM	CONCENTRACAO_UNIVERSIDADE	DISTANCIA_ALUGUEL_CARROS	DISTANCIA_BANCO	DISTANCIA_CONCESSIONARIA	DISTANCIA_CORRETOR_SEGUROS	DISTANCIA_ACADEMIAS	DISTANCIA_AEROPORTOS	DISTANCIA_BARES	DISTANCIA_LOJA_BEBIDAS	DISTANCIA_BOMBEIRO	DISTANCIA_CAIXA_ELETRONICO	DISTANCIA_CASA_NOTURNA	DISTANCIA_CEMITERIO	DISTANCIA_CINEMAS	DISTANCIA_CORREIOS	DISTANCIA_ESCOLAS	DISTANCIA_ESTACAO_ONIBUS	DISTANCIA_AGLOMERADO_SUBNORMAL	DISTANCIA_FRONTEIRA_ESTADUAL	DISTANCIA_FRONTEIRA_INTERNACIONAL	DISTANCIA_FRONTEIRA_MARITIMA	DISTANCIA_FUNERARIA	DISTANCIA_HOSPITAL	DISTANCIA_HOTEL	DISTANCIA_IGREJA	DISTANCIA_LAVA_RAPIDO	DISTANCIA_METRO	DISTANCIA_OFICINAS	DISTANCIA_PARQUE	DISTANCIA_PARQUES_DIVERSAO	DISTANCIA_POLICIA	DISTANCIA_POSTO_GASOLINA	DISTANCIA_PREFEITURA	DISTANCIA_SHOPPING	DISTANCIA_SUPERMERCADO	DISTANCIA_TREM	DISTANCIA_ESTACIONAMENTOS	DISTANCIA_PONTO_TAXI	DISTANCIA_UNIVERSIDADE	DISTANCIA_AREA_RISCO	CNPJ	ANO_MES	ALVO_CASCO
C	LTDA	MICRO	1	37	70	4	1	22	2	0	3.1818181818181817	2.0	1.0	0.0	0.0	D	9	5	0	0	0	0	0	MEDIA	ALTA	MEDIA	ALTA	MEDIA	MEDIA	ALTA	MEDIA	ALTA	ALTA	ALTA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	MEDIA	ALTISSIMA	MEDIA	ALTA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	ALTA	BAIXISSIMA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	PROXIMO	LONGE	PROXIMO	LONGE	LONGE	PROXIMO	LONGE	MUITO PROXIMO	LONGE	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	LONGE	PROXIMO	MEDIO	PROXIMO	MUITO LONGE	PROXIMO	LONGE	LONGE	LONGE	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	MUITO PROXIMO	171798692295	202404	0.0
F	LTDA	PEQUENA	8	14229	73208	8553	1573	24265	1684	246	3.01702039975273	5.078978622327791	6.394308943089431	0.05553606921547995	0.10167330677290837		0	1	0	0	0	0	0	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTA	ALTISSIMA	MEDIA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	BAIXISSIMA	ALTA	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	LONGE	PROXIMO	MUITO PROXIMO	MEDIO	PROXIMO	LONGE	PROXIMO	MUITO LONGE	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO LONGE	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	8589935879	202304	0.0
F	LTDA	MEDIA	1	87780	245140	72023	238	133628	40023	130	1.8344957643607627	1.7995402643479999	1.8307692307692307	0.19606236896546936	0.35933821659708154	D	2	3	0	0	0	0	0	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	MUITO LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	LONGE	LONGE	PROXIMO	MEDIO	MEDIO	PROXIMO	MUITO PROXIMO	236	202306	0.0
C	LTDA	GRANDE	1	8431	64952	7294	351	51448	6576	318	1.2624786191883066	1.1091849148418491	1.1037735849056605	0.2162051000822594	0.4166922133660331	F	78	3	1	0	0	4	0	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	MEDIA	MEDIA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	PROXIMO	LONGE	LONGE	MEDIO	LONGE	LONGE	LONGE	MEDIO	MEDIO	LONGE	LONGE	LONGE	MEDIO	PROXIMO	MUITO LONGE	MEDIO	MEDIO	MEDIO	MUITO LONGE	PROXIMO	LONGE	LONGE	LONGE	LONGE	MEDIO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	LONGE	MEDIO	MEDIO	LONGE	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	25769804713	202201	0.0
H	MEI	MICRO	1	96681	641816	73780	1097	247191	29000	431	2.5964375725653444	2.544137931034483	2.5452436194895594	0.14770940634318244	0.24957783891471397	B	2	1	1	0	0	0	0	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	ALTA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	LONGE	LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	LONGE	LONGE	LONGE	MUITO PROXIMO	42949675683	202403	0.0
C	LTDA	PEQUENA	1	772	14936	719	57	10549	607	42	1.4158688027301165	1.1845140032948929	1.3571428571428572	0.3198887343532684	0.4516680923866553	D	27	2	0	0	0	0	0	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	ALTA	BAIXISSIMA	ALTA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	ALTA	BAIXISSIMA	MEDIA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	MEDIA	ALTA	ALTA	MEDIA	BAIXISSIMA	ALTA	MEDIA	BAIXISSIMA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	ALTA	BAIXISSIMA	ALTA	LONGE	LONGE	MEDIO	MEDIO	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	PROXIMO	LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MEDIO	LONGE	LONGE	LONGE	MEDIO	LONGE	MEDIO	MUITO LONGE	MEDIO	MEDIO	LONGE	LONGE	LONGE	MUITO LONGE	LONGE	LONGE	LONGE	MUITO LONGE	171798691891	202103	0.0
H	LTDA	GRANDE	24	193212	330014	126926	2299	196783	74542	1312	1.6770452732197396	1.7027447613425988	1.7522865853658536	0.15520066810582545	0.25948727508192215	J	947	2	0	1	0	116	149	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	MUITO PROXIMO	MEDIO	LONGE	MUITO LONGE	MUITO LONGE	MEDIO	MEDIO	MEDIO	PROXIMO	MUITO PROXIMO	MUITO LONGE	PROXIMO	MUITO PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	LONGE	PROXIMO	MEDIO	MEDIO	MUITO PROXIMO	34359738803	202009	0.0
F	LTDA	GRANDE	1	1107	2469	357	8	3693	408	7	0.6685621445978879	0.875	1.1428571428571428	0.12324929971988796	0.21972534332084895	H	325	4	0	0	0	4	2	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	MEDIO	MEDIO	PROXIMO	MEDIO	LONGE	MUITO LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	LONGE	MUITO LONGE	LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	60129542232	202102	0.0
S	ENTIDADES_SEM_FINS_LUCRATIVOS	MEDIA	1	5745	23253	1772	24	33892	2043	29	0.6860911129470082	0.8673519334312286	0.8275862068965517	0.13939051918735892	0.23922624877571008	EMPRESA_ISENTA	333			0	0	52	13	MEDIA	ALTA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	ALTA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	ALTISSIMA	BAIXISSIMA	ALTA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	ALTA	ALTA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	LONGE	LONGE	LONGE	LONGE	MEDIO	PROXIMO	LONGE	LONGE	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	LONGE	MUITO PROXIMO	MEDIO	PROXIMO	MUITO LONGE	PROXIMO	LONGE	MUITO LONGE	LONGE	MEDIO	LONGE	MEDIO	MEDIO	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	120259085608	202104	0.0
D	OUTRAS_ENTIDADES_EMPRESARIAIS	GRANDE	10	172	832	5	0	228	0	0	3.6491228070175437	5.0	0.0	0.0	0.0	H	161	5	0	14	7	8	83	ALTA	ALTA	ALTA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO LONGE	MEDIO	PROXIMO	MUITO LONGE	MUITO LONGE	PROXIMO	MUITO LONGE	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MUITO LONGE	PROXIMO	MEDIO	LONGE	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	LONGE	PROXIMO	PROXIMO	PROXIMO	MUITO LONGE	85899346319	202203	0.0
M	LTDA	MEDIA	7		54779		22	28308		9	1.9351066836230042		2.4444444444444446			F	6	3	0	0	0	0	4	MEDIA	BAIXISSIMA	BAIXISSIMA	ALTISSIMA	MEDIA	MEDIA	MEDIA	MEDIA	MEDIA	ALTA	BAIXISSIMA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	BAIXA	ALTA	BAIXISSIMA	ALTA	MEDIA	MEDIA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	BAIXA	MEDIA	ALTA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	ALTISSIMA	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	MEDIO	LONGE	LONGE	MEDIO	LONGE	MUITO LONGE	PROXIMO	LONGE	LONGE	MEDIO	LONGE	MEDIO	MUITO LONGE	MEDIO	LONGE	MEDIO	MEDIO	LONGE	LONGE	MEDIO	LONGE	LONGE	MEDIO	LONGE	LONGE	PROXIMO	MEDIO	MUITO LONGE	MEDIO	LONGE	LONGE	PROXIMO	MUITO PROXIMO	146028888737	202109	0.0
H	LTDA	MEDIA	5	213482	495907	184123	3026	341489	132675	1842	1.4521902608868806	1.3877746372715283	1.6427795874049946	0.2493930687638155	0.3508174158870683	G	29	2	0	0	0	0	4	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTA	ALTISSIMA	MEDIA	MEDIA	ALTISSIMA	ALTA	ALTA	MEDIA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	PROXIMO	LONGE	LONGE	MEDIO	LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	LONGE	LONGE	LONGE	LONGE	MEDIO	LONGE	MEDIO	PROXIMO	LONGE	MUITO LONGE	MEDIO	LONGE	MEDIO	MEDIO	MUITO LONGE	LONGE	PROXIMO	LONGE	LONGE	MEDIO	LONGE	LONGE	MEDIO	LONGE	LONGE	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	42949675381	202209	0.0
C	LTDA	MEDIA	2	255	309	60	1	875	122	2	0.35314285714285715	0.4918032786885246	0.5	0.03333333333333333	0.1322314049586777	F	50	5	0	0	0	1	0	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	MEDIO	MEDIO	PROXIMO	LONGE	PROXIMO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	MEDIO	LONGE	MUITO LONGE	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	MUITO PROXIMO	163208757716	202109	0.0
C	LTDA	MEDIA	2	199	427	48	0	623	47	1	0.6853932584269663	1.0212765957446808	0.0	0.0625	0.10588235294117647	J	128			0	0	5	3	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	BAIXISSIMA	ALTISSIMA	MEDIO	MEDIO	PROXIMO	LONGE	LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	PROXIMO	MEDIO	LONGE	MUITO LONGE	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	LONGE	LONGE	LONGE	MEDIO	PROXIMO	LONGE	MEDIO	MEDIO	85899346586	202005	0.0
H	LTDA	MICRO	1	50457	399980	31010	696	281862	22286	389	1.4190632295236676	1.3914565197882078	1.7892030848329048	0.17771686552724927	0.29097934605652864	C	7	2	0	0	0	0	0	ALTA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	MEDIA	ALTA	ALTA	MEDIA	BAIXISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTA	ALTA	ALTA	BAIXISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	MEDIA	ALTA	ALTISSIMA	BAIXISSIMA	MEDIA	LONGE	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	LONGE	PROXIMO	PROXIMO	LONGE	MEDIO	MUITO LONGE	MUITO LONGE	PROXIMO	MUITO LONGE	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	MUITO LONGE	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	MEDIO	LONGE	MEDIO	PROXIMO	PROXIMO	MUITO LONGE	103079215683	202108	0.0
G	LTDA	MICRO	1	88258	188148	40732	835	237556	61355	1040	0.7920153563791275	0.6638741748838726	0.8028846153846154	0.15110969262496318	0.3049369575896512	B	5	2	0	0	0	2	0	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	ALTISSIMA	MEDIA	ALTA	BAIXISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTA	ALTA	ALTA	ALTA	MEDIA	ALTA	ALTA	ALTISSIMA	ALTA	MEDIO	PROXIMO	MEDIO	LONGE	PROXIMO	MEDIO	PROXIMO	PROXIMO	LONGE	PROXIMO	PROXIMO	LONGE	PROXIMO	PROXIMO	LONGE	MEDIO	PROXIMO	MEDIO	MUITO LONGE	PROXIMO	LONGE	MEDIO	LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	MEDIO	MUITO PROXIMO	25769804696	202309	0.0
G	LTDA	MEDIA	2	3529	54155	1241	115	83682	2690	276	0.6471523147152315	0.4613382899628253	0.4166666666666667	0.1780821917808219	0.31329113924050633	G	74	5	0	0	0	0	0	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	ALTA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	PROXIMO	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO PROXIMO	120259085671	202111	0.0
N	SIMPLES	PEQUENA	2	1569	9929	558	65	15457	528	39	0.6423626835737853	1.0568181818181819	1.6666666666666667	0.11469534050179211	0.19243604004449388	E	23	2	0	0	0	0	0	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	MUITO LONGE	MUITO LONGE	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MUITO LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	128849019379	202301	0.0
C	LTDA	PEQUENA	1	632	2000	145	8	1464	113	7	1.366120218579235	1.2831858407079646	1.1428571428571428	0.027586206896551724	0.16554054054054054	F	69	2	0	0	0	1	0	ALTA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTA	ALTA	ALTA	BAIXISSIMA	ALTISSIMA	MEDIA	BAIXISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	MEDIO	PROXIMO	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	PROXIMO	LONGE	LONGE	MUITO LONGE	MUITO LONGE	PROXIMO	MEDIO	LONGE	PROXIMO	PROXIMO	MUITO LONGE	MEDIO	LONGE	LONGE	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	MUITO PROXIMO	MEDIO	68719477319	202405	0.0
