PROP_CNPJ,PROP_ALVO_CASCO,CALC_PROB_SINISTRO,CALC_DECIL_SCORE,CALC_DECISAO_FINAL,RGR_REGRA_DISPARADA_ID,CALC_REASON_CODE,CALC_JUSTIFICATIVA_NEGOCIO,CALC_AGRAVAMENTO_PREMIO_PCT,CALC_EXIGE_RASTREADOR_GPS,VI_TICKET_MEDIO_PREMIO,CALC_PREMIO_FINAL_FATURADO,CALC_RECEITA_ADICIONAL,CALC_PERDA_EVITADA,PROP_SECAO_CNAE,PROP_PORTE_FATURAMENTO,PROP_CONCENTRACAO_AREA_RISCO,PROP_QTD_PROCESSOS_REQUERIDO,PROP_RISCO_LIDERANCA
CNPJ_002465,0.0,0.0945,7,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,G,B,BAIXISSIMA,0.0,0.0
CNPJ_002466,0.0,0.0924,7,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,C,D,MEDIA,0.0,0.0
CNPJ_002467,0.0,0.1167,3,ACEITO_COM_CONDICAO,RGR_R03_DECIL2_3_CONDICIONAL,ACEITE_CONDICIONAL_DECIL_INTERMEDIARIO,Aceite Condicional Decil Intermediario (+7.5% premio).,7.5,False,10000.0,10750.0,750.0,0.0,G,D,ALTA,1.0,0.0
CNPJ_002468,0.0,0.1038,5,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,G,C,ALTA,2.0,0.0
CNPJ_002469,0.0,0.1043,5,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,H,G,BAIXISSIMA,18.0,0.0
CNPJ_002470,0.0,0.1109,4,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,F,C,BAIXISSIMA,0.0,0.0
CNPJ_002471,0.0,0.1276,2,ACEITO_COM_CONDICAO,RGR_R03_DECIL2_3_CONDICIONAL,ACEITE_CONDICIONAL_DECIL_INTERMEDIARIO,Aceite Condicional Decil Intermediario (+7.5% premio).,7.5,False,10000.0,10750.0,750.0,0.0,H,J,ALTA,15.0,0.0
CNPJ_002472,0.0,0.1005,6,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,N,,ALTISSIMA,0.0,0.0
CNPJ_002473,0.0,0.1157,3,ACEITO_COM_CONDICAO,RGR_R03_DECIL2_3_CONDICIONAL,ACEITE_CONDICIONAL_DECIL_INTERMEDIARIO,Aceite Condicional Decil Intermediario (+7.5% premio).,7.5,False,10000.0,10750.0,750.0,0.0,G,,ALTA,0.0,0.0
CNPJ_002474,0.0,0.14,1,ACEITO_COM_CONDICAO,RGR_R01_DECIL1_RESGATE_COM_RASTREADOR,RECUPERACAO_COMERCIAL_D1,"Aceite Condicional Decil 1: Perfil de score alto risco, porem mitigado por baixo passivo judicial e geografia favoravel.",15.0,True,10000.0,11500.0,1500.0,0.0,H,D,BAIXISSIMA,0.0,0.0
CNPJ_002475,0.0,0.0942,7,APROVADO,RGR_R04_DECIL4_10_APROVADO,APROVADO_AUTOMATICO_BAIXO_RISCO,Aprovacao Automatica: Risco dentro do apetite da seguradora.,0.0,False,10000.0,10000.0,0.0,0.0,G,D,ALTISSIMA,3.0,0.0
